iter	Passed	Remaining
0	3	328
1	6	326
2	9	309
3	12	295
4	15	288
5	17	281
6	22	294
7	25	290
8	27	277
9	29	266
10	31	257
11	34	249
12	36	242
13	38	236
14	40	230
15	42	224
16	45	220
17	47	215
18	50	213
19	52	209
20	54	205
21	56	201
22	59	198
23	61	195
24	64	192
25	66	188
26	68	185
27	70	181
28	72	178
29	74	174
30	77	171
31	79	168
32	81	165
33	83	162
34	85	159
35	87	155
36	89	152
37	91	150
38	94	147
39	96	144
40	98	141
41	100	138
42	102	135
43	104	132
44	107	130
45	109	128
46	111	125
47	113	123
48	115	120
49	117	117
50	120	115
51	123	113
52	125	111
53	127	108
54	129	106
55	131	103
56	134	101
57	136	98
58	138	96
59	140	93
60	141	90
61	143	88
62	145	85
63	148	83
64	150	80
65	152	78
66	154	75
67	156	73
68	158	71
69	160	68
70	162	66
71	165	64
72	167	61
73	169	59
74	171	57
75	173	54
76	175	52
77	177	50
78	180	47
79	182	45
80	184	43
81	186	40
82	188	38
83	191	36
84	193	34
85	195	31
86	197	29
87	200	27
88	202	25
89	205	22
90	207	20
91	209	18
92	211	15
93	214	13
94	216	11
95	218	9
96	221	6
97	223	4
98	225	2
99	228	0
