iter	Passed	Remaining
0	7	7370
1	10	5115
2	13	4333
3	19	4869
4	22	4576
5	25	4202
6	27	3932
7	33	4111
8	38	4235
9	41	4080
10	43	3948
11	53	4366
12	55	4219
13	57	4062
14	59	3921
15	70	4322
16	73	4234
17	75	4131
18	79	4128
19	83	4111
20	87	4058
21	89	3998
22	93	3970
23	98	4005
24	102	3999
25	107	4035
26	110	3996
27	114	3959
28	116	3902
29	120	3897
30	123	3864
31	126	3818
32	128	3773
33	130	3719
34	132	3663
35	137	3686
36	140	3648
37	142	3610
38	146	3605
39	150	3606
40	153	3593
41	156	3565
42	159	3539
43	166	3621
44	169	3594
45	171	3564
46	174	3532
47	176	3503
48	179	3487
49	182	3471
50	184	3437
51	186	3404
52	189	3394
53	192	3372
54	196	3371
55	199	3356
56	202	3342
57	205	3332
58	207	3316
59	211	3315
60	215	3317
61	218	3309
62	223	3317
63	226	3316
64	229	3296
65	231	3277
66	233	3257
67	240	3297
68	244	3302
69	248	3297
70	250	3283
71	256	3311
72	259	3299
73	262	3279
74	264	3261
75	269	3271
76	273	3284
77	276	3271
78	279	3258
79	283	3257
80	285	3242
81	288	3226
82	289	3197
83	292	3184
84	298	3218
85	301	3209
86	304	3198
87	307	3190
88	312	3202
89	316	3198
90	322	3219
91	325	3212
92	328	3199
93	330	3184
94	336	3203
95	339	3193
96	341	3177
97	343	3160
98	345	3143
99	349	3143
100	352	3139
101	354	3124
102	356	3108
103	358	3092
104	360	3077
105	365	3085
106	369	3084
107	372	3073
108	374	3063
109	377	3056
110	380	3048
111	382	3033
112	384	3019
113	386	3005
114	388	2991
115	391	2979
116	395	2983
117	397	2973
118	400	2963
119	402	2952
120	405	2944
121	409	2946
122	411	2936
123	413	2924
124	415	2911
125	418	2899
126	420	2891
127	424	2892
128	427	2886
129	429	2876
130	432	2866
131	434	2857
132	438	2857
133	440	2846
134	442	2835
135	444	2824
136	446	2814
137	450	2812
138	456	2829
139	459	2821
140	462	2818
141	464	2807
142	468	2808
143	471	2805
144	474	2796
145	476	2790
146	479	2782
147	482	2777
148	485	2773
149	487	2764
150	489	2754
151	491	2744
152	493	2733
153	496	2729
154	499	2725
155	502	2715
156	504	2706
157	506	2696
158	508	2688
159	510	2682
160	512	2671
161	515	2665
162	517	2657
163	519	2649
164	522	2642
165	526	2644
166	528	2635
167	530	2626
168	532	2618
169	534	2610
170	537	2605
171	542	2611
172	544	2603
173	546	2594
174	548	2586
175	550	2579
176	553	2571
177	556	2571
178	558	2563
179	560	2555
180	563	2547
181	565	2541
182	567	2534
183	571	2533
184	573	2525
185	575	2517
186	577	2510
187	579	2504
188	581	2496
189	585	2496
190	587	2489
191	589	2482
192	592	2477
193	594	2470
194	596	2463
195	601	2465
196	604	2464
197	606	2458
198	609	2452
199	611	2446
200	616	2452
201	619	2448
202	622	2443
203	624	2438
204	629	2442
205	633	2440
206	635	2434
207	637	2428
208	640	2424
209	645	2428
210	647	2422
211	649	2415
212	651	2408
213	653	2401
214	655	2395
215	659	2392
216	661	2385
217	663	2378
218	665	2371
219	667	2365
220	669	2359
221	673	2361
222	675	2354
223	677	2348
224	679	2342
225	682	2335
226	684	2329
227	688	2331
228	690	2326
229	693	2321
230	695	2315
231	697	2310
232	701	2307
233	703	2302
234	705	2296
235	707	2290
236	709	2284
237	711	2278
238	714	2273
239	717	2272
240	719	2266
241	721	2260
242	723	2254
243	725	2249
244	728	2244
245	731	2243
246	734	2237
247	736	2232
248	738	2226
249	740	2221
250	742	2216
251	745	2213
252	747	2208
253	750	2202
254	752	2197
255	754	2193
256	759	2197
257	763	2194
258	765	2190
259	768	2186
260	770	2182
261	777	2189
262	780	2187
263	788	2197
264	795	2205
265	797	2201
266	800	2197
267	804	2197
268	807	2193
269	810	2192
270	816	2196
271	820	2195
272	823	2194
273	826	2190
274	830	2189
275	833	2186
276	838	2188
277	841	2184
278	843	2180
279	847	2179
280	850	2175
281	853	2174
282	856	2169
283	863	2177
284	866	2174
285	869	2170
286	871	2166
287	876	2166
288	879	2162
289	881	2157
290	883	2151
291	885	2146
292	889	2145
293	891	2141
294	894	2138
295	897	2134
296	899	2129
297	902	2125
298	905	2123
299	908	2118
300	910	2114
301	912	2109
302	915	2105
303	919	2105
304	922	2100
305	924	2096
306	927	2092
307	929	2088
308	933	2086
309	935	2082
310	938	2078
311	940	2073
312	942	2068
313	945	2064
314	948	2061
315	950	2057
316	952	2052
317	955	2048
318	957	2043
319	960	2041
320	963	2037
321	965	2032
322	967	2027
323	970	2025
324	975	2026
325	977	2021
326	980	2016
327	982	2011
328	985	2009
329	989	2009
330	992	2005
331	996	2004
332	999	2001
333	1003	2001
334	1006	1998
335	1008	1993
336	1011	1989
337	1013	1984
338	1015	1980
339	1019	1979
340	1021	1974
341	1023	1969
342	1025	1964
343	1027	1960
344	1030	1955
345	1034	1955
346	1036	1950
347	1038	1945
348	1040	1940
349	1042	1935
350	1044	1931
351	1047	1927
352	1050	1924
353	1052	1920
354	1054	1915
355	1056	1910
356	1058	1905
357	1060	1901
358	1064	1900
359	1066	1895
360	1068	1891
361	1070	1886
362	1072	1881
363	1075	1878
364	1078	1876
365	1081	1873
366	1083	1869
367	1086	1865
368	1088	1861
369	1092	1860
370	1094	1856
371	1097	1852
372	1099	1847
373	1101	1843
374	1103	1839
375	1106	1836
376	1108	1832
377	1110	1827
378	1112	1823
379	1114	1818
380	1117	1815
381	1119	1811
382	1122	1808
383	1125	1804
384	1127	1800
385	1129	1796
386	1131	1792
387	1135	1790
388	1137	1786
389	1139	1782
390	1141	1777
391	1143	1773
392	1145	1769
393	1149	1767
394	1151	1763
395	1153	1759
396	1156	1756
397	1159	1753
398	1161	1749
399	1164	1746
400	1166	1741
401	1168	1738
402	1173	1737
403	1177	1736
404	1179	1732
405	1183	1731
406	1186	1728
407	1188	1725
408	1192	1722
409	1194	1719
410	1197	1715
411	1199	1711
412	1201	1707
413	1204	1705
414	1207	1702
415	1209	1698
416	1211	1694
417	1213	1690
418	1215	1685
419	1217	1681
420	1222	1680
421	1224	1676
422	1226	1672
423	1228	1668
424	1230	1664
425	1232	1660
426	1235	1657
427	1237	1654
428	1240	1650
429	1242	1647
430	1248	1648
431	1251	1645
432	1253	1641
433	1255	1637
434	1257	1633
435	1260	1631
436	1264	1629
437	1267	1626
438	1270	1624
439	1274	1621
440	1278	1620
441	1280	1616
442	1282	1612
443	1284	1608
444	1286	1605
445	1289	1601
446	1292	1599
447	1295	1595
448	1297	1591
449	1299	1588
450	1301	1584
451	1303	1580
452	1307	1578
453	1309	1574
454	1311	1571
455	1313	1567
456	1316	1564
457	1319	1561
458	1323	1560
459	1326	1557
460	1329	1554
461	1333	1552
462	1337	1550
463	1339	1547
464	1341	1543
465	1344	1540
466	1348	1538
467	1351	1536
468	1354	1533
469	1358	1531
470	1361	1529
471	1365	1527
472	1368	1524
473	1370	1521
474	1373	1518
475	1375	1514
476	1377	1510
477	1381	1508
478	1383	1505
479	1385	1501
480	1387	1497
481	1389	1493
482	1392	1489
483	1395	1487
484	1397	1484
485	1399	1480
486	1401	1476
487	1404	1473
488	1406	1469
489	1409	1466
490	1411	1463
491	1413	1459
492	1416	1456
493	1418	1452
494	1420	1448
495	1422	1445
496	1425	1443
497	1428	1439
498	1430	1435
499	1432	1432
500	1434	1428
501	1436	1425
502	1440	1423
503	1443	1420
504	1445	1417
505	1448	1413
506	1450	1410
507	1454	1408
508	1456	1405
509	1458	1401
510	1461	1398
511	1463	1394
512	1465	1391
513	1468	1388
514	1470	1385
515	1472	1381
516	1474	1377
517	1476	1374
518	1480	1371
519	1485	1370
520	1487	1367
521	1490	1364
522	1492	1361
523	1494	1357
524	1497	1354
525	1500	1351
526	1502	1348
527	1504	1344
528	1508	1342
529	1510	1339
530	1514	1337
531	1516	1333
532	1518	1330
533	1521	1327
534	1524	1325
535	1528	1323
536	1531	1320
537	1535	1318
538	1538	1315
539	1542	1314
540	1545	1311
541	1548	1308
542	1550	1304
543	1552	1301
544	1554	1298
545	1559	1296
546	1561	1293
547	1563	1289
548	1565	1286
549	1567	1282
550	1569	1279
551	1574	1277
552	1576	1274
553	1578	1270
554	1580	1267
555	1582	1263
556	1584	1260
557	1589	1258
558	1591	1255
559	1593	1251
560	1595	1248
561	1597	1245
562	1599	1241
563	1604	1240
564	1606	1236
565	1608	1233
566	1610	1229
567	1612	1226
568	1615	1223
569	1618	1220
570	1620	1217
571	1622	1214
572	1624	1210
573	1627	1207
574	1631	1205
575	1634	1202
576	1636	1199
577	1638	1196
578	1641	1193
579	1645	1191
580	1647	1188
581	1649	1184
582	1651	1181
583	1654	1178
584	1656	1175
585	1661	1173
586	1663	1170
587	1665	1167
588	1667	1163
589	1669	1160
590	1671	1157
591	1675	1154
592	1677	1151
593	1679	1148
594	1681	1144
595	1685	1142
596	1689	1140
597	1692	1137
598	1694	1134
599	1696	1130
600	1698	1127
601	1702	1125
602	1705	1123
603	1708	1120
604	1711	1117
605	1714	1114
606	1718	1112
607	1721	1109
608	1724	1106
609	1726	1103
610	1728	1100
611	1730	1097
612	1734	1095
613	1737	1092
614	1739	1089
615	1742	1086
616	1744	1082
617	1749	1081
618	1751	1078
619	1753	1074
620	1755	1071
621	1758	1068
622	1760	1065
623	1766	1064
624	1768	1061
625	1770	1057
626	1772	1054
627	1774	1051
628	1777	1048
629	1780	1045
630	1782	1042
631	1784	1039
632	1786	1035
633	1789	1032
634	1793	1031
635	1796	1028
636	1798	1025
637	1801	1022
638	1803	1019
639	1806	1016
640	1809	1013
641	1811	1010
642	1813	1006
643	1815	1003
644	1818	1000
645	1820	997
646	1823	994
647	1826	992
648	1828	989
649	1831	985
650	1834	983
651	1837	980
652	1840	977
653	1842	974
654	1844	971
655	1846	968
656	1848	965
657	1852	962
658	1854	959
659	1856	956
660	1858	953
661	1860	950
662	1863	946
663	1866	944
664	1870	942
665	1873	939
666	1875	936
667	1877	933
668	1880	930
669	1884	928
670	1891	927
671	1895	925
672	1899	922
673	1902	920
674	1904	917
675	1907	914
676	1912	912
677	1914	909
678	1917	906
679	1919	903
680	1921	900
681	1925	897
682	1928	894
683	1930	891
684	1932	888
685	1934	885
686	1936	882
687	1938	879
688	1942	876
689	1944	873
690	1946	870
691	1948	867
692	1950	864
693	1953	861
694	1956	858
695	1958	855
696	1960	852
697	1962	849
698	1964	846
699	1966	842
700	1970	840
701	1973	837
702	1975	834
703	1977	831
704	1979	828
705	1981	825
706	1985	822
707	1987	819
708	1989	816
709	1991	813
710	1993	810
711	1996	807
712	1998	804
713	2000	801
714	2002	798
715	2005	795
716	2007	792
717	2009	789
718	2013	787
719	2016	784
720	2018	781
721	2021	778
